reef_name,lat,lon,sector,year_before,year_after,coral_before,coral_after,change,pct_change
STANLEY REEF,-19.3,148.083333,CU,2005,2007,10.874,9.167,-1.71,-15.7
ELIZABETH REEF,-19.333333,149.05,CU,2015,2021,8.986,26.701,17.71,197.1
CHARITY REEF,-19.366667,148.333333,CU,2007,2021,2.778,17.689,14.91,536.8
SHOWERS REEF,-19.491667,148.908333,CU,2007,2022,24.971,24.56,-0.41,-1.6
WANSFELL REEF,-19.508333,149.116667,CU,2005,2021,20.32,25.078,4.76,23.4
PLASTER REEF,-19.633333,149.658333,WH,1994,1997,28.438,29.063,0.62,2.2
SLATE REEF,-19.666667,149.925,WH,2022,2023,60.329,61.48,1.15,1.9
HOLBOURNE ISLAND REEF,-19.716667,148.358333,CU,2004,2021,7.25,8.452,1.2,16.6
HARDY REEF,-19.758333,149.225,WH,2022,2023,36.056,34.456,-1.6,-4.4
HYDE REEF,-19.758333,150.091667,WH,2022,2023,59.275,53.075,-6.2,-10.5
19131S,-19.766667,149.366667,WH,2022,2023,34.423,26.13,-8.29,-24.1
BAIT REEF,-19.808333,149.075,WH,2004,2005,29.439,16.957,-12.48,-42.4
19138S,-19.808333,149.425,WH,2022,2023,24.784,19.643,-5.14,-20.7
REBE REEF,-19.808333,150.15,WH,2022,2023,56.5,59.291,2.79,4.9
NAPIER REEF,-19.841667,149.891667,WH,1993,1996,48.563,39.355,-9.21,-19.0
CONDER REEF,-19.916667,150.2,PO,2003,2013,37.421,4.928,-32.49,-86.8
BEN REEF,-20.008333,150.325,PO,2021,2023,59.792,45.804,-13.99,-23.4
20104S,-20.033333,149.683333,WH,2022,2023,31.042,15.0,-16.04,-51.7
HAYMAN ISLAND REEF,-20.066667,148.891667,WH,2022,2023,21.453,15.096,-6.36,-29.6
LANGFORD-BIRD REEF,-20.091667,148.875,WH,2021,2023,6.121,12.578,6.46,105.5
EDGELL REEFS (NO 5),-20.141667,149.941667,PO,2007,2013,20.676,8.938,-11.74,-56.8
BORDER ISLAND REEF (NO 1),-20.175,149.025,WH,2022,2023,10.818,10.227,-0.59,-5.5
CANNAN REEF,-20.483333,150.141667,PO,2017,2023,24.226,17.024,-7.2,-29.7
PACKER REEFS,-20.483333,150.208333,PO,2007,2013,29.423,32.667,3.24,11.0
CREAL REEF,-20.533333,150.383333,PO,2019,2021,25.45,47.596,22.15,87.0
CREDLIN REEFS (EAST),-20.541667,149.95,PO,2021,2023,12.287,11.27,-1.02,-8.3
BRIGGS REEF (NO 4),-20.683833,150.4515,PO,2009,2015,17.5,29.167,11.67,66.7
