reef_name,sector,lat,lon,latest_coral_pct
RODDA REEF,PC,-13.925,144.366667,38.819
DAVIE REEF,PC,-13.975,144.458333,37.075
TYDEMAN REEF,PC,-13.983333,144.516667,31.395
CORBETT REEF,PC,-14.0,144.108333,26.829
CLACK REEF,PC,-14.066667,144.241667,18.208
SAND BANK NO 1 REEF,PC,-14.191667,144.916667,34.551
14075S,CL,-14.283333,145.175,32.802
STAPLETON REEF,CL,-14.325,144.858333,20.478
14056S,CL,-14.325,144.958333,8.25
SWITZER REEF,CL,-14.358333,144.758333,19.754
INGRAM-BEANLEY REEF,CL,-14.425,144.891667,25.98
HILDER REEF,CL,-14.441667,145.408333,39.224
FLY REEF,CL,-14.5,145.158333,10.87
HOUGHTON REEF,CL,-14.525,144.975,35.729
CARTER REEF,CL,-14.55,145.583333,32.826
YONGE REEF,CL,-14.6,145.625,35.436
MACGILLIVRAY REEF,CL,-14.65,145.491667,36.912
NO NAME REEF,CL,-14.65,145.65,25.411
NYMPH REEF,CL,-14.658333,145.25,38.641
LIZARD ISLAND,CL,-14.675,145.466667,24.083
EYRIE REEF,CL,-14.716667,145.375,29.853
TURTLE GROUP REEF (NO 2),CL,-14.736667,145.2,26.641
NORTH DIRECTION REEF,CL,-14.741667,145.508333,49.853
MARTIN REEF(14123),CL,-14.766667,145.358333,41.602
LINNET REEF,CL,-14.783333,145.341667,34.393
SOUTH DIRECTION REEF (NORTH),CL,-14.825,145.525,26.281
EYE REEF,CL,-14.891667,145.475,2.955
NO 10 PATCHES (NO 2),CL,-14.933333,145.683333,33.864
HELSDON REEF,CL,-14.95,145.491667,27.708
RIBBON NO 9 REEF,CL,-14.991667,145.708333,28.056
TWO ISLANDS REEF,CL,-15.025,145.441667,33.9
THREE ISLANDS REEF,CL,-15.116667,145.425,47.933
HARRIER REEF,CL,-15.133333,145.691667,30.0
MACKAY REEFS,CL,-15.15,145.575,6.071
FORRESTER REEF,CL,-15.166667,145.5,41.864
MARX REEF,CL,-15.2,145.616667,45.65
STARTLE (EAST),CL,-15.208333,145.55,8.704
SWINGER REEF,CL,-15.241667,145.533333,39.338
RIBBON NO 6 REEF,CL,-15.283333,145.75,10.727
15034S,CL,-15.316667,145.766667,35.121
BOULDER REEF,CL,-15.416667,145.425,31.53
15047S,CL,-15.466667,145.683333,20.104
EGRET REEF,CL,-15.475,145.416667,15.784
RIBBON NO 3 REEF,CL,-15.483333,145.8,24.067
15077S,CL,-15.558333,145.65,25.905
RIBBON NO 1 REEF,CL,-15.608333,145.8,35.303
ROSSER REEF,CL,-15.616667,145.516667,33.504
IRENE REEF,CL,-15.65,145.716667,19.882
LENA REEF,CL,-15.65,145.8,38.237
RUBY REEF,CA,-15.75,145.783333,24.768
ANDERSEN REEF,CA,-15.791667,145.8,39.507
RACHEL CARSON REEF,CA,-15.825,145.816667,30.357
PICKERSGILL REEF,CA,-15.875,145.583333,34.784
ESCAPE (1),CA,-15.883333,145.791667,20.703
EVENING REEF,CA,-15.908333,145.658333,28.627
AGINCOURT REEFS (NO 4),CA,-15.95,145.816667,23.891
MORNING REEF,CA,-15.975,145.666667,28.466
AGINCOURT REEFS (NO 3),CA,-15.991667,145.825,24.932
16013A,CA,-16.013333,145.791667,24.375
16013B,CA,-16.013333,145.8,64.531
16013C,CA,-16.03,145.803333,22.5
MACKAY REEF,CA,-16.05,145.65,32.031
AGINCOURT REEFS (NO 1),CA,-16.05,145.858333,45.313
16017S,CA,-16.083333,145.725,13.833
ST CRISPIN REEF,CA,-16.108333,145.833333,14.942
UNDINE REEF (WEST),CA,-16.125,145.666667,4.356
RUDDER REEF,CA,-16.2,145.7,18.171
CHINAMAN REEF(16024),CA,-16.208333,145.8,10.743
OPAL (2),CA,-16.216667,145.891667,11.282
TONGUE (2),CA,-16.316667,145.816667,3.468
LOW ISLANDS REEF,CA,-16.383333,145.566667,39.234
NORMAN REEF,CA,-16.433333,146.0,17.643
SAXON REEF,CA,-16.466667,145.983333,30.5
HASTINGS REEF,CA,-16.516667,146.016667,24.631
HOPE REEF(16058),CA,-16.53,146.125,33.125
PIXIE REEF,CA,-16.55,145.858333,44.25
MICHAELMAS REEF,CA,-16.583333,146.016667,13.839
